"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
199604,0.8,1996,"04",4,"Apr"
199605,0.3,1996,"05",5,"May"
199606,1.2,1996,"06",6,"Jun"
199607,0.7,1996,"07",7,"Jul"
199608,0.7,1996,"08",8,"Aug"
199609,0.6,1996,"09",9,"Sep"
199610,0.6,1996,"10",10,"Oct"
199611,-0.1,1996,"11",11,"Nov"
199612,0.9,1996,"12",12,"Dec"
199701,0.5,1997,"01",1,"Jan"
199702,1.7,1997,"02",2,"Feb"
199703,-0.4,1997,"03",3,"Mar"
199704,-0.6,1997,"04",4,"Apr"
199705,-1.3,1997,"05",5,"May"
199706,-1.4,1997,"06",6,"Jun"
199707,-0.8,1997,"07",7,"Jul"
199708,-1.4,1997,"08",8,"Aug"
199709,-1.4,1997,"09",9,"Sep"
199710,-1.5,1997,"10",10,"Oct"
199711,-1.2,1997,"11",11,"Nov"
199712,-1,1997,"12",12,"Dec"
199801,-2.7,1998,"01",1,"Jan"
199802,-2,1998,"02",2,"Feb"
199803,-2.4,1998,"03",3,"Mar"
199804,-1.4,1998,"04",4,"Apr"
199805,0.3,1998,"05",5,"May"
199806,1,1998,"06",6,"Jun"
199807,1.2,1998,"07",7,"Jul"
199808,1.2,1998,"08",8,"Aug"
199809,1,1998,"09",9,"Sep"
199810,1.1,1998,"10",10,"Oct"
199811,1,1998,"11",11,"Nov"
199812,1.4,1998,"12",12,"Dec"
199901,1.8,1999,"01",1,"Jan"
199902,1,1999,"02",2,"Feb"
199903,1.3,1999,"03",3,"Mar"
199904,1.4,1999,"04",4,"Apr"
199905,0.2,1999,"05",5,"May"
199906,0.3,1999,"06",6,"Jun"
199907,0.5,1999,"07",7,"Jul"
199908,0.4,1999,"08",8,"Aug"
199909,-0.1,1999,"09",9,"Sep"
199910,1,1999,"10",10,"Oct"
199911,1,1999,"11",11,"Nov"
199912,1.4,1999,"12",12,"Dec"
200001,0.7,2000,"01",1,"Jan"
200002,1.7,2000,"02",2,"Feb"
200003,1.3,2000,"03",3,"Mar"
200004,1.2,2000,"04",4,"Apr"
200005,0.4,2000,"05",5,"May"
200006,-0.2,2000,"06",6,"Jun"
200007,-0.2,2000,"07",7,"Jul"
200008,0.7,2000,"08",8,"Aug"
200009,0.9,2000,"09",9,"Sep"
200010,1.1,2000,"10",10,"Oct"
200011,1.8,2000,"11",11,"Nov"
200012,0.8,2000,"12",12,"Dec"
200101,1,2001,"01",1,"Jan"
200102,1.7,2001,"02",2,"Feb"
200103,0.9,2001,"03",3,"Mar"
200104,0.2,2001,"04",4,"Apr"
200105,-0.5,2001,"05",5,"May"
200106,0.3,2001,"06",6,"Jun"
200107,-0.2,2001,"07",7,"Jul"
200108,-0.4,2001,"08",8,"Aug"
200109,0.2,2001,"09",9,"Sep"
200110,0,2001,"10",10,"Oct"
200111,0.7,2001,"11",11,"Nov"
200112,-0.8,2001,"12",12,"Dec"
200201,0.4,2002,"01",1,"Jan"
200202,1.1,2002,"02",2,"Feb"
200203,-0.2,2002,"03",3,"Mar"
200204,-0.1,2002,"04",4,"Apr"
200205,-0.8,2002,"05",5,"May"
200206,-0.2,2002,"06",6,"Jun"
200207,-0.5,2002,"07",7,"Jul"
200208,-1,2002,"08",8,"Aug"
200209,-0.6,2002,"09",9,"Sep"
200210,-0.4,2002,"10",10,"Oct"
200211,-0.5,2002,"11",11,"Nov"
200212,-1.1,2002,"12",12,"Dec"
200301,-0.2,2003,"01",1,"Jan"
200302,-0.7,2003,"02",2,"Feb"
200303,-0.3,2003,"03",3,"Mar"
200304,-0.1,2003,"04",4,"Apr"
200305,-0.3,2003,"05",5,"May"
200306,-0.6,2003,"06",6,"Jun"
200307,0.3,2003,"07",7,"Jul"
200308,0.1,2003,"08",8,"Aug"
200309,-0.1,2003,"09",9,"Sep"
200310,0,2003,"10",10,"Oct"
200311,-0.3,2003,"11",11,"Nov"
200312,1.1,2003,"12",12,"Dec"
200401,-1.3,2004,"01",1,"Jan"
200402,1.2,2004,"02",2,"Feb"
200403,0.4,2004,"03",3,"Mar"
200404,-0.9,2004,"04",4,"Apr"
200405,1,2004,"05",5,"May"
200406,-0.8,2004,"06",6,"Jun"
200407,-0.5,2004,"07",7,"Jul"
200408,-0.3,2004,"08",8,"Aug"
200409,-0.3,2004,"09",9,"Sep"
200410,-0.1,2004,"10",10,"Oct"
200411,-0.7,2004,"11",11,"Nov"
200412,-0.8,2004,"12",12,"Dec"
200501,0.3,2005,"01",1,"Jan"
200502,-3.1,2005,"02",2,"Feb"
200503,0.3,2005,"03",3,"Mar"
200504,-0.6,2005,"04",4,"Apr"
200505,-0.8,2005,"05",5,"May"
200506,0.4,2005,"06",6,"Jun"
