"","yr","variable","MEI"
"657",2003,"sep.oct",0.516
"658",2004,"sep.oct",0.508
"659",2005,"sep.oct",-0.167
"660",2006,"sep.oct",0.955
"661",2007,"sep.oct",-1.217
"662",2008,"sep.oct",-0.692
"663",2009,"sep.oct",0.909
"664",2010,"sep.oct",-1.899
"665",2011,"sep.oct",-0.933
"666",2012,"sep.oct",0.081
"667",2013,"sep.oct",0.13
"668",2014,"sep.oct",0.438
"669",2015,"sep.oct",2.241
"670",2016,"sep.oct",-0.379
"671",1950,"oct.nov",-1.165
"672",1951,"oct.nov",0.703
"673",1952,"oct.nov",-0.349
"674",1953,"oct.nov",0.075
"675",1954,"oct.nov",-1.14
"676",1955,"oct.nov",-1.841
"677",1956,"oct.nov",-1.038
"678",1957,"oct.nov",1.148
"679",1958,"oct.nov",0.486
"680",1959,"oct.nov",-0.17
"681",1960,"oct.nov",-0.331
"682",1961,"oct.nov",-0.436
"683",1962,"oct.nov",-0.623
"684",1963,"oct.nov",0.844
"685",1964,"oct.nov",-1.239
"686",1965,"oct.nov",1.362
"687",1966,"oct.nov",0.004
"688",1967,"oct.nov",-0.426
"689",1968,"oct.nov",0.586
"690",1969,"oct.nov",0.666
"691",1970,"oct.nov",-1.084
"692",1971,"oct.nov",-1.329
"693",1972,"oct.nov",1.726
"694",1973,"oct.nov",-1.503
"695",1974,"oct.nov",-1.251
"696",1975,"oct.nov",-1.773
"697",1976,"oct.nov",0.493
"698",1977,"oct.nov",0.975
"699",1978,"oct.nov",0.186
"700",1979,"oct.nov",0.746
"701",1980,"oct.nov",0.251
"702",1981,"oct.nov",-0.038
"703",1982,"oct.nov",2.428
"704",1983,"oct.nov",-0.132
"705",1984,"oct.nov",-0.352
"706",1985,"oct.nov",-0.059
"707",1986,"oct.nov",0.873
"708",1987,"oct.nov",1.271
"709",1988,"oct.nov",-1.468
"710",1989,"oct.nov",-0.073
"711",1990,"oct.nov",0.389
"712",1991,"oct.nov",1.189
"713",1992,"oct.nov",0.582
"714",1993,"oct.nov",0.834
"715",1994,"oct.nov",1.299
"716",1995,"oct.nov",-0.478
"717",1996,"oct.nov",-0.146
"718",1997,"oct.nov",2.542
"719",1998,"oct.nov",-1.086
"720",1999,"oct.nov",-1.05
"721",2000,"oct.nov",-0.714
"722",2001,"oct.nov",-0.153
"723",2002,"oct.nov",1.09
"724",2003,"oct.nov",0.57
"725",2004,"oct.nov",0.805
"726",2005,"oct.nov",-0.392
"727",2006,"oct.nov",1.286
"728",2007,"oct.nov",-1.165
"729",2008,"oct.nov",-0.597
"730",2009,"oct.nov",1.121
"731",2010,"oct.nov",-1.49
"732",2011,"oct.nov",-0.949
"733",2012,"oct.nov",0.125
"734",2013,"oct.nov",-0.053
"735",2014,"oct.nov",0.763
"736",2015,"oct.nov",2.297
"737",2016,"oct.nov",-0.212
"738",1950,"nov.dec",-1.261
"739",1951,"nov.dec",0.478
"740",1952,"nov.dec",-0.124
"741",1953,"nov.dec",0.324
"742",1954,"nov.dec",-1.113
"743",1955,"nov.dec",-1.877
"744",1956,"nov.dec",-1.022
"745",1957,"nov.dec",1.248
"746",1958,"nov.dec",0.671
"747",1959,"nov.dec",-0.261
"748",1960,"nov.dec",-0.417
"749",1961,"nov.dec",-0.634
