"yr","mo.char","NAO"
1858,"Jun",-0.24
1859,"Jun",-0.06
1860,"Jun",-2.32
1861,"Jun",-1.04
1862,"Jun",-0.22
1863,"Jun",-0.59
1864,"Jun",1.76
1865,"Jun",0.74
1866,"Jun",-0.18
1867,"Jun",-1.2
1868,"Jun",2.1
1869,"Jun",-0.71
1870,"Jun",0.56
1871,"Jun",-1.37
1872,"Jun",-0.34
1873,"Jun",0.78
1874,"Jun",-0.76
1875,"Jun",1.46
1876,"Jun",1.71
1877,"Jun",-0.32
1878,"Jun",-1.54
1879,"Jun",-0.5
1880,"Jun",0.45
1881,"Jun",0.01
1882,"Jun",-0.64
1883,"Jun",-1.75
1884,"Jun",0.5
1885,"Jun",1.59
1886,"Jun",-1.17
1887,"Jun",0.06
1888,"Jun",-1.7
1889,"Jun",1.89
1890,"Jun",1.23
1891,"Jun",-3.74
1892,"Jun",-0.47
1893,"Jun",-0.56
1894,"Jun",2.78
1895,"Jun",-0.2
1896,"Jun",-0.27
1897,"Jun",-1.42
1898,"Jun",-0.84
1899,"Jun",-0.25
1900,"Jun",-1.23
1901,"Jun",0.21
1902,"Jun",-3.25
1903,"Jun",-2.8
1904,"Jun",-0.87
1905,"Jun",-2.29
1906,"Jun",-1.68
1907,"Jun",0.76
1908,"Jun",0.83
1909,"Jun",-1.35
1910,"Jun",-1.07
1911,"Jun",0.42
1912,"Jun",-0.98
1913,"Jun",1.03
1914,"Jun",0.57
1915,"Jun",-2.3
1916,"Jun",-3.03
1917,"Jun",0.81
1918,"Jun",1.31
1919,"Jun",1.86
1920,"Jun",-1.62
1921,"Jun",-1.6
1922,"Jun",0.79
1923,"Jun",0.53
1924,"Jun",-2.09
1925,"Jun",-2.2
1926,"Jun",-1.79
1927,"Jun",-1.6
1928,"Jun",-1.89
1929,"Jun",-0.06
1930,"Jun",-0.37
1931,"Jun",-0.96
1932,"Jun",-1.46
1933,"Jun",-1.62
1934,"Jun",-2.49
1935,"Jun",1.34
1936,"Jun",0.76
1937,"Jun",0.49
1938,"Jun",0.97
1939,"Jun",-1.4
1940,"Jun",-1.2
1941,"Jun",0.24
1942,"Jun",-2.1
1943,"Jun",1.91
1944,"Jun",-2.78
1945,"Jun",0.37
1946,"Jun",2.56
1947,"Jun",0.2
1948,"Jun",-0.27
1949,"Jun",-1.51
1950,"Jun",1.26
1951,"Jun",-1.16
1952,"Jun",0.02
1953,"Jun",-2.96
1954,"Jun",-0.94
1955,"Jun",-0.18
1956,"Jun",1.26
1957,"Jun",-0.8
1958,"Jun",-1.44
1959,"Jun",1.51
1960,"Jun",-0.41
1961,"Jun",2.13
1962,"Jun",1.41
1963,"Jun",-1.77
1964,"Jun",-1.85
1965,"Jun",0.87
1966,"Jun",0.82
1967,"Jun",1.96
1968,"Jun",0.95
1969,"Jun",-1.17
1970,"Jun",-0.11
1971,"Jun",-1.32
1972,"Jun",1.07
1973,"Jun",0.83
1974,"Jun",-0.14
1975,"Jun",0.18
1976,"Jun",1.76
1977,"Jun",-0.89
1978,"Jun",0.14
1979,"Jun",0.45
1980,"Jun",-0.21
1981,"Jun",-1.57
1982,"Jun",-1.86
1983,"Jun",0.54
1984,"Jun",0.33
1985,"Jun",-1.08
